17/08/2015 12:24:15	/tf/home/test	 IP = ::1	 Method = GET
17/08/2015 15:09:15	/tf/	 IP = ::1	 Method = GET
17/08/2015 15:09:15	/tf/home	 IP = ::1	 Method = GET
17/08/2015 15:14:02	/tf/home	 IP = ::1	 Method = GET
17/08/2015 15:14:12	/tf/home	 IP = ::1	 Method = GET
17/08/2015 15:16:04	/tf/home	 IP = ::1	 Method = GET
17/08/2015 15:16:23	/tf/home	 IP = ::1	 Method = GET
17/08/2015 15:16:51	/tf/home	 IP = ::1	 Method = GET
17/08/2015 15:16:55	/tf/home	 IP = ::1	 Method = GET
17/08/2015 15:17:15	/tf/home	 IP = ::1	 Method = GET
17/08/2015 15:17:43	/tf/home	 IP = ::1	 Method = GET
17/08/2015 15:17:48	/tf/home	 IP = ::1	 Method = GET
17/08/2015 15:20:10	/tf/	 IP = ::1	 Method = GET
17/08/2015 15:20:10	/tf/home	 IP = ::1	 Method = GET
17/08/2015 15:20:23	/tf/home	 IP = ::1	 Method = GET
17/08/2015 15:20:26	/tf/home	 IP = ::1	 Method = GET
17/08/2015 15:21:08	/tf/home	 IP = ::1	 Method = GET
17/08/2015 15:21:13	/tf/home	 IP = ::1	 Method = GET
17/08/2015 15:21:37	/tf/home	 IP = ::1	 Method = GET
17/08/2015 15:23:00	/tf/home	 IP = ::1	 Method = GET
17/08/2015 15:40:05	/tf/home	 IP = ::1	 Method = GET
17/08/2015 15:40:06	/tf/home	 IP = ::1	 Method = GET
17/08/2015 15:44:34	/tf/home	 IP = ::1	 Method = GET
17/08/2015 15:44:40	/tf/home/test	 IP = ::1	 Method = GET
17/08/2015 15:45:16	/tf/home/test	 IP = ::1	 Method = GET
17/08/2015 15:45:34	/tf/home/test	 IP = ::1	 Method = GET
17/08/2015 15:46:06	/tf/home/test	 IP = ::1	 Method = GET
17/08/2015 15:46:11	/tf/home/test	 IP = ::1	 Method = GET
17/08/2015 15:48:12	/tf/home/test	 IP = ::1	 Method = GET
17/08/2015 15:49:41	/tf/home/test	 IP = ::1	 Method = GET
17/08/2015 15:50:05	/tf/home/test	 IP = ::1	 Method = GET
17/08/2015 15:50:08	/tf/home/test	 IP = ::1	 Method = GET
17/08/2015 15:50:30	/tf/home/test	 IP = ::1	 Method = GET
17/08/2015 15:50:31	/tf/home/test2	 IP = ::1	 Method = GET
17/08/2015 15:50:33	/tf/home/test2/d	 IP = ::1	 Method = GET
17/08/2015 15:50:38	/tf/home/test2/d	 IP = ::1	 Method = GET
17/08/2015 15:50:40	/tf/home/test2/1	 IP = ::1	 Method = GET
17/08/2015 15:50:45	/tf/home/parameter/1	 IP = ::1	 Method = GET
17/08/2015 15:50:48	/tf/home/parameter/d	 IP = ::1	 Method = GET
17/08/2015 15:50:52	/tf/home/parameterWithoutRegex/d	 IP = ::1	 Method = GET
17/08/2015 15:51:14	/tf/home/parameterWithoutRegex/d	 IP = ::1	 Method = GET
17/08/2015 15:51:15	/tf/home/parameter/d	 IP = ::1	 Method = GET
17/08/2015 15:51:16	/tf/home/parameter/1	 IP = ::1	 Method = GET
17/08/2015 15:51:18	/tf/home/parameter/d	 IP = ::1	 Method = GET
17/08/2015 15:51:18	/tf/home/parameterWithoutRegex/d	 IP = ::1	 Method = GET
17/08/2015 15:51:19	/tf/home/parameterWithoutRegex/d	 IP = ::1	 Method = GET
17/08/2015 15:51:23	/tf/home/parameter/1	 IP = ::1	 Method = GET
17/08/2015 15:51:23	/tf/home/parameterWithoutRegex/d	 IP = ::1	 Method = GET
17/08/2015 15:51:24	/tf/home/parameter/1	 IP = ::1	 Method = GET
17/08/2015 15:51:24	/tf/home/parameterWithoutRegex/d	 IP = ::1	 Method = GET
17/08/2015 15:51:24	/tf/home/parameter/1	 IP = ::1	 Method = GET
17/08/2015 15:51:24	/tf/home/parameterWithoutRegex/d	 IP = ::1	 Method = GET
17/08/2015 15:51:25	/tf/home/parameter/1	 IP = ::1	 Method = GET
17/08/2015 15:51:25	/tf/home/parameterWithoutRegex/d	 IP = ::1	 Method = GET
17/08/2015 15:51:25	/tf/home/parameter/d	 IP = ::1	 Method = GET
17/08/2015 15:51:26	/tf/home/parameterWithoutRegex/d	 IP = ::1	 Method = GET
17/08/2015 15:51:27	/tf/home/parameter/1	 IP = ::1	 Method = GET
17/08/2015 15:51:27	/tf/home/parameterWithoutRegex/d	 IP = ::1	 Method = GET
17/08/2015 15:51:27	/tf/home/parameter/1	 IP = ::1	 Method = GET
18/08/2015 11:12:22	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:13:15	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:14:23	/tf/auth/array(18)%20%7B%20%20[0]=%3E%20%20array(6)%20%7B%20%20%20%20[	 IP = ::1	 Method = GET
18/08/2015 11:15:28	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:17:13	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:19:51	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:22:10	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:22:13	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:25:24	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:25:39	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:25:45	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:25:50	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:28:44	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:28:49	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:28:50	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:28:50	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:28:51	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:28:52	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:29:00	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:29:22	/tf/auth/login	 IP = 127.0.0.1	 Method = GET
18/08/2015 11:29:23	/tf/auth/login	 IP = 127.0.0.1	 Method = GET
18/08/2015 11:29:29	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:29:30	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:29:33	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:29:37	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:29:40	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:29:44	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:29:49	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:29:53	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:29:58	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:30:05	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:30:09	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:30:19	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:30:24	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:30:26	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:30:50	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:30:56	/tf/auth/login	 IP = ::1	 Method = GET
18/08/2015 11:31:15	/tf/auth/login	 IP = ::1	 Method = GET
